country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,59.8,59.9,58.5,78.7,82.1,101,138,161,129,129,157,160,135,143,174,187,197,224,247,276,273,264,,,,,,,,,,,,,,,,,,,,,179,191,211,242,264,360,365,438,543,591,642,637,614,578,509,520,494,507
Albania,,,,,,,,,,,,,,,,,,,,,,,,,639,640,694,675,653,698,617,337,201,367,586,751,1010,717,814,1030,1130,1280,1430,1850,2370,2670,2970,3600,4370,4110,4090,4440,4250,4410,4580,3950,4120,4530,5280,5350
Algeria,,,172,227,238,250,236,254,282,303,336,341,442,555,818,937,1040,1190,1460,1780,2200,2240,2210,2310,2470,2580,2760,2810,2420,2220,2410,1730,1780,1810,1510,1450,1600,1620,1600,1590,1770,1740,1780,2100,2610,3110,3480,3950,4920,3880,4480,5460,5590,5500,5490,4190,3950,4110,4150,3970
Andorra,,,,,,,,,,,3240,3500,4220,5340,6320,7170,7150,7750,9130,11800,12400,10400,9610,8020,7730,7770,10400,12600,14300,15200,18900,19500,20500,16500,16200,18500,19000,18400,18900,19300,21900,23000,25100,32300,38000,40100,42700,47800,48700,43500,40900,43300,38700,39500,41300,35800,37500,39000,41800,40900
Angola,,,,,,,,,,,,,,,,,,,,,711,642,620,623,638,758,685,756,792,891,948,866,656,441,329,397,523,514,424,388,557,527,872,983,1260,1900,2600,3120,4080,3120,3590,4620,5100,5250,5410,4170,3510,4100,3290,2790
Antigua and Barbuda,,,,,,,,,,,,,,,,,,1250,1420,1760,2120,2390,2660,2950,3370,3900,4700,5460,6450,7080,7350,7600,7740,8140,8770,8410,9030,9490,9940,10300,10900,10400,10400,10800,11400,12600,14000,15600,16000,14200,13000,12700,13300,12900,13500,14300,15200,15400,16700,17100
Argentina,,,1160,850,1170,1280,1270,1060,1140,1330,1320,1370,1410,2100,2840,2030,1950,2130,2150,2520,2760,2780,2930,3550,2660,2930,3610,3560,3990,2380,4330,5740,6820,6970,7480,7410,7720,8210,8290,7770,7710,7210,2590,3350,4280,5110,5920,7250,9020,8230,10400,12800,13100,13100,12300,13800,12800,14600,11600,9910
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,638,590,370,357,401,456,504,523,609,597,623,694,783,930,1190,1640,2160,3140,4010,2990,3220,3530,3680,3840,3990,3610,3590,3910,4220,4620
Australia,1810,1870,1850,1960,2130,2280,2340,2580,2720,2990,3300,3490,3940,4760,6470,6990,7480,7770,8240,9280,10200,11800,12800,11500,12400,11400,11400,11600,14300,17800,18200,18800,18600,17600,18000,20300,21900,23500,21300,20500,21700,19500,20100,23400,30400,34000,36000,41000,49600,42800,52000,62500,68000,68200,62500,56800,50000,54000,57400,55100
Austria,935,1030,1090,1170,1270,1370,1490,1570,1680,1830,2060,2380,2920,3890,4630,5290,5680,6810,8210,9790,10900,9390,9410,9540,8990,9170,13100,16400,17600,17500,21700,22400,24900,24100,25600,30300,29800,26700,27400,27200,24600,24500,26400,32200,36800,38400,40600,46900,51700,48000,46900,51400,48600,50700,51700,44200,45300,47400,51500,50100
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1240,1210,676,530,436,397,409,506,562,574,655,704,763,884,1050,1580,2470,3850,5570,4950,5840,7190,7500,7880,7890,5500,3880,4150,4740,4790
Bahamas,1550,1650,1750,1870,1990,2140,2320,2560,2800,3220,3180,3300,3320,3700,3420,3160,3330,3620,4130,5530,6340,6620,7170,7700,8880,9890,10300,11200,11400,12200,12400,11900,11700,11400,11800,12200,12700,22000,23500,26100,27100,27500,28900,28300,28400,30300,30700,31500,30600,28600,28400,28000,29500,28800,30000,31300,31600,32700,33800,34900
Bahrain,,,,,,,,,,,,,,,,,,,,,8540,9270,9450,9420,9590,8710,7040,7560,7960,8030,8530,9060,9080,9700,10100,10400,10500,10700,10100,10400,13600,12900,13000,14200,15800,18000,19300,21000,23100,19400,20700,22500,23700,24700,25000,22600,22600,23700,24000,23500
Bangladesh,89,97.6,100,102,100,107,113,123,123,135,140,134,94.4,120,182,278,141,131,176,201,228,248,221,204,214,245,234,254,271,286,306,293,294,301,300,329,395,401,407,410,418,415,413,446,475,499,510,558,635,702,781,862,883,982,1120,1250,1400,1560,1700,1860
Barbados,,,,,,,,,,,,,,,1270,1630,1760,1990,2210,2670,4010,4400,4580,4850,5270,5500,6020,6610,7000,7720,7710,7710,7440,7820,8120,8340,8850,9320,10500,10900,11300,11200,11400,11700,12500,13800,15200,16800,17100,15900,16100,16500,16200,16500,16500,16500,16900,17400,17700,18100
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2120,1770,1670,1590,1460,1370,1450,1400,1510,1210,1280,1240,1480,1820,2380,3130,3850,4740,6380,5350,6030,6520,6940,7980,8320,5950,5020,5760,6330,6660
Belgium,1270,1350,1440,1540,1700,1840,1960,2090,2220,2460,2770,3080,3830,4900,5730,6700,7240,8430,10300,11800,12900,10600,9340,8850,8460,8750,12200,15100,16400,16500,20600,21000,23400,22300,24200,28400,27500,24800,25300,25200,23000,23000,24900,30600,35400,36800,38700,44300,48100,44600,44100,47300,44700,46700,47700,41000,42000,44200,47600,46400
Belize,305,316,327,337,351,378,406,420,387,397,436,474,520,606,786,886,717,859,981,1070,1370,1330,1200,1230,1340,1290,1370,1610,1790,2010,2200,2330,2670,2830,2880,3000,3000,2950,2990,3070,3360,3400,3530,3650,3800,3880,4150,4250,4400,4190,4270,4420,4510,4570,4710,4780,4820,4890,4880,4820
Benin,93,95.6,94.5,99.9,104,110,113,112,117,116,115,113,135,162,174,207,209,218,264,328,378,338,323,271,253,244,303,345,347,312,394,386,318,412,280,367,387,361,379,552,511,518,572,710,797,822,855,965,1120,1080,1040,1130,1150,1250,1290,1080,1090,1140,1240,1220
Bhutan,,,,,,,,,,,,,,,,,,,,,333,350,347,376,375,371,421,512,557,528,565,468,469,442,509,567,584,663,668,725,718,764,846,962,1070,1230,1330,1760,1830,1820,2260,2560,2540,2470,2650,2750,2930,3290,3240,3320
Bolivia,102,109,117,123,136,150,162,180,200,212,227,239,269,264,429,481,534,617,703,809,811,1030,961,914,1020,870,627,671,699,702,709,762,788,784,801,881,951,999,1050,1000,998,949,904,908,967,1030,1220,1370,1720,1750,1960,2350,2610,2910,3080,3040,3080,3350,3550,3550
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,319,487,740,983,1100,1250,1470,1530,1770,2220,2810,2980,3420,4190,5090,4710,4640,5090,4780,5130,5330,4730,4990,5390,6070,6110
Botswana,60.5,64.2,68.1,71.1,76,81.8,90,100,111,127,153,196,248,354,428,479,483,564,709,948,1180,1150,1050,1180,1200,1040,1250,1700,2200,2480,2950,2970,3040,2970,2970,3220,3220,3260,3040,3410,3520,3280,3190,4330,5070,5510,5520,5830,5710,5260,6430,7620,7050,7220,7780,6800,7240,7890,8280,7960
Brazil,210,205,260,292,262,261,316,347,375,404,445,505,586,775,1000,1150,1390,1570,1740,1910,1950,2130,2230,1570,1580,1650,1940,2090,2300,2910,3100,3980,2600,2790,3500,4750,5170,5280,5090,3480,3750,3160,2830,3070,3640,4790,5890,7350,8830,8600,11300,13200,12400,12300,12100,8810,8710,9930,9000,8720
Brunei,,,,,,1110,1240,1240,1360,1300,1380,1460,1910,2920,6920,7230,8460,9920,10700,14900,25400,21800,20700,18100,17300,15700,10200,11600,11000,11900,13600,13900,15300,14600,14100,15900,16800,16700,12700,14100,18000,16500,16900,18600,21900,26100,31000,32700,37900,28000,35300,47100,47700,44700,41700,31200,27200,28600,31600,31100
Bulgaria,,,,,,,,,,,,,,,,,,,,,2240,2230,2170,1850,1960,1910,2260,3130,2510,2480,2370,1270,1210,1280,1150,2260,1470,1360,1820,1660,1620,1770,2090,2720,3390,3900,4520,5890,7270,6990,6810,7810,7400,7660,7880,7060,7550,8330,9430,9830
Burkina Faso,68.4,71.6,76.5,78.4,80.5,81.7,82.5,84.4,84.7,86.5,81.5,84.3,99.3,114,124,153,156,177,226,262,283,254,245,218,194,201,257,291,313,305,352,346,241,244,193,236,249,229,256,298,255,267,295,375,418,458,473,535,643,624,648,751,758,787,793,653,688,735,813,787
Burundi,70.1,71.2,73.4,78.5,86.2,51.4,52.2,54.8,54.9,55.7,69.8,71.6,69.1,84.4,94.7,114,119,142,155,193,221,227,231,241,214,242,246,225,209,210,208,210,190,162,157,167,143,159,144,129,136,134,123,114,128,152,167,172,198,212,234,250,252,257,275,306,282,293,272,261
Cambodia,111,109,109,118,124,134,139,144,157,142,103,136,69.2,94.4,78.1,,,,,,,,,,,,,,,,,,,254,271,323,319,305,269,296,303,321,339,362,409,474,540,632,746,738,786,882,951,1010,1090,1160,1270,1390,1510,1640
Cameroon,120,124,130,131,139,141,144,154,170,181,178,184,208,249,311,369,401,427,543,695,782,859,799,781,800,809,1020,1150,1130,975,947,1020,912,1200,801,709,753,755,721,741,650,651,708,866,1010,1010,1060,1190,1370,1310,1290,1410,1350,1470,1540,1330,1360,1430,1530,1510
Canada,2260,2240,2270,2370,2560,2770,3050,3220,3460,3760,4120,4520,5090,5840,7030,7510,8810,8920,9120,10000,11200,12300,12500,13400,13900,14100,14500,16300,18900,20700,21400,21800,20900,20100,19900,20600,21200,21800,21000,22200,24200,23700,24200,28200,32000,36300,40400,44500,46600,40800,47400,52100,52700,52700,50900,43600,42300,45100,46300,46200
